Gradiente;total_vinculos_ativos;percentual (%)
0;196136;21.68974211527403
Gradiente 1;14976;1.6561242093156987
Gradiente 2;182986;20.235546512142257
Gradiente 3;310523;34.33925332861503
Gradiente 4;199659;22.079333834652985
