Gradiente;Código CBO;Título da Família Ocupacional;Correlato ISCO-08;codigo_cbo_4;total_vinculos_ativos
Gradiente 2;4152;Carteiros e operadores de triagem de serviços postais;4412 - Mail Carriers and Sorting Clerks;4152;71809
0;7153;;;7153;71189
0;3121;;;3121;70537
0;7741;;;7741;69752
0;5136;;;5136;68635
0;1231;;;1231;68404
0;6233;;;6233;68230
0;8414;;;8414;68135
0;2237;;;2237;66987
0;2392;;;2392;66899
0;3133;;;3133;65568
0;3714;;;3714;63839
0;2331;;;2331;63834
Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;2631 / 2411 - Economists / Accountants;2512;62953
0;3242;;;3242;62784
0;2346;;;2346;62142
Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;4131 - Typists and Word Processing Operators;3515;62049
0;6321;;;6321;60270
0;1422;;;1422;59789
0;2332;;;2332;57300
0;3518;;;3518;57271
Gradiente 2;3513;Técnicos em contabilidade e em administração;3313 / 3339 - Accounting Assoc. / Bus. Services;3513;56824
0;7214;;;7214;56710
0;2527;;;2527;56456
0;7821;;;7821;56103
0;3011;;;3011;54961
0;8214;;;8214;54842
0;3423;;;3423;53939
0;2149;;;2149;53913
0;6201;;;6201;53196
0;1416;;;1416;52891
0;1313;;;1313;51887
Gradiente 3;4222;Recepcionistas em geral e Operadores de telefonia;4226 / 4223 - Receptionists / Switchboard Ops;4222;51860
0;9513;;;9513;51624
0;5171;;;5171;51390
Gradiente 2;5241;Vendedores em domicílio;5243 - Door-to-door Salespersons;5241;50954
0;9131;;;9131;50623
Gradiente 2;2624;Artistas visuais e desenhistas industriais (Designers);2166 - Graphic and Multimedia Designers;2624;50372
0;7662;;;7662;48852
0;5101;;;5101;48751
0;7245;;;7245;48391
0;3211;;;3211;47663
0;8418;;;8418;47282
0;9921;;;9921;46339
0;7252;;;7252;45901
Gradiente 3;2123;Engenheiros de computação e Administradores de TI;2512 / 2521 - Software Developers / DB Admins;2123;45547
0;6230;;;6230;45546
0;3144;;;3144;45460
0;7255;;;7255;45296
Gradiente 3;3517;Técnicos e Corretores de seguros;3321 - Insurance Representatives;3517;44845
0;3111;;;3111;44627
0;1021;;;1021;44056
0;7641;;;7641;43993
0;9913;;;9913;43596
0;7663;;;7663;41212
0;7112;;;7112;40485
Gradiente 2;2531;Relações públicas, publicidade, mercado e negócios;2432 - Public Relations Professionals;2531;40336
Gradiente 3;3548;Técnicos em serviços de turismo e organização de eventos;4221 - Travel Consultants and Clerks;3548;40151
0;5193;;;5193;40062
0;7313;;;7313;39512
0;7251;;;7251;38764
