Gradiente;Código CBO;Título da Família Ocupacional;Correlato ISCO-08;codigo_cbo_4;total_vinculos_ativos
0;6220;;;6220;409
0;3121;;;3121;407
0;7151;;;7151;406
Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;4131 - Typists and Word Processing Operators;3515;404
0;3951;;;3951;404
0;7827;;;7827;395
0;3222;;;3222;370
0;7102;;;7102;352
0;5121;;;5121;334
0;5132;;;5132;326
0;6221;;;6221;316
0;1114;;;1114;309
0;5191;;;5191;299
Gradiente 3;4222;Recepcionistas em geral e Operadores de telefonia;4226 / 4223 - Receptionists / Switchboard Ops;4222;298
0;5173;;;5173;295
0;2345;;;2345;294
0;7842;;;7842;293
0;6410;;;6410;277
0;1413;;;1413;265
0;9144;;;9144;251
0;7824;;;7824;249
0;3522;;;3522;246
0;1311;;;1311;240
0;7155;;;7155;240
0;2534;;;2534;237
0;8485;;;8485;227
0;2332;;;2332;222
0;2526;;;2526;216
Gradiente 3;2611;Profissionais do jornalismo e Editores;2642 / 2641 - Journalists / Authors;2611;215
0;2031;;;2031;212
0;1416;;;1416;211
0;7832;;;7832;209
0;8601;;;8601;208
0;6231;;;6231;206
0;5135;;;5135;199
0;3341;;;3341;198
Gradiente 2;4142;Apontadores e conferentes;4322 - Production Clerks;4142;183
0;2251;;;2251;181
Gradiente 2;3421;Especialistas em logística de transportes;4323 - Transport Clerks;3421;177
0;7156;;;7156;173
0;5151;;;5151;168
0;1232;;;1232;167
0;2412;;;2412;159
Gradiente 2;3543;Analistas de comércio exterior e Leiloeiros/avaliadores;3324 / 3315 - Trade Brokers / Valuers;3543;155
0;7311;;;7311;155
0;2221;;;2221;152
0;3211;;;3211;150
0;9999;;;9999;144
0;3412;;;3412;143
0;1312;;;1312;139
0;3714;;;3714;138
0;7243;;;7243;137
0;2140;;;2140;133
0;2516;;;2516;126
0;2144;;;2144;125
0;3133;;;3133;125
0;9511;;;9511;115
Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;1411 - Hotel Managers;1415;113
0;3411;;;3411;108
Gradiente 3;3548;Técnicos em serviços de turismo e organização de eventos;4221 - Travel Consultants and Clerks;3548;107
0;3185;;;3185;104
0;9513;;;9513;104
0;6201;;;6201;103
0;3115;;;3115;100
Gradiente 1;4151;Auxiliares de serviços de documentação, informação e pesquisa;4415 - Filing and Copying Clerks;4151;95
0;3311;;;3311;94
0;2321;;;2321;91
0;8621;;;8621;89
0;2312;;;2312;87
0;7153;;;7153;84
0;3003;;;3003;83
0;1237;;;1237;83
0;2313;;;2313;83
0;5103;;;5103;82
Gradiente 1;2515;Psicólogos e psicanalistas;2634 - Psychologists;2515;82
0;9922;;;9922;75
0;7241;;;7241;75
0;7244;;;7244;74
0;7166;;;7166;72
0;3312;;;3312;72
Gradiente 2;3547;Técnicos de vendas especializadas e Rep. comerciais autônomos;3322 - Commercial Sales Representatives;3547;71
0;3224;;;3224;70
0;3744;;;3744;70
0;2237;;;2237;68
0;9113;;;9113;67
0;1313;;;1313;63
0;9101;;;9101;63
Gradiente 2;3544;Analistas de comércio exterior e Leiloeiros/avaliadores;3324 / 3315 - Trade Brokers / Valuers;3544;63
0;5162;;;5162;62
0;1411;;;1411;62
0;7242;;;7242;61
0;8611;;;8611;61
0;3123;;;3123;61
0;2346;;;2346;61
0;5131;;;5131;59
Gradiente 2;4152;Carteiros e operadores de triagem de serviços postais;4412 - Mail Carriers and Sorting Clerks;4152;59
0;3413;;;3413;59
0;7822;;;7822;58
0;5101;;;5101;58
0;3546;;;3546;57
0;5242;;;5242;57
0;5112;;;5112;56
0;6230;;;6230;55
0;9921;;;9921;55
0;3143;;;3143;54
0;5133;;;5133;53
0;1112;;;1112;52
0;7632;;;7632;52
0;2311;;;2311;52
0;3122;;;3122;52
0;3423;;;3423;49
Gradiente 2;3722;Operadores de rede de teleprocessamento e afins;3511 - ICT Operations Technicians;3722;49
0;9501;;;9501;49
0;3011;;;3011;47
0;4153;;;4153;47
0;7233;;;7233;46
0;2134;;;2134;46
0;7321;;;7321;46
Gradiente 2;2613;Arquivistas e museólogos;2621 - Archivists and Curators;2613;46
0;2711;;;2711;45
0;1144;;;1144;44
0;9913;;;9913;44
Gradiente 4;4231;Despachantes documentalistas e afins;4419 - Clerical Support Workers NEC;4231;43
0;2151;;;2151;43
0;1238;;;1238;43
0;8483;;;8483;41
0;1234;;;1234;41
0;2344;;;2344;40
0;3117;;;3117;40
0;7841;;;7841;39
0;5111;;;5111;39
0;2545;;;2545;39
0;2233;;;2233;37
0;6321;;;6321;36
0;5243;;;5243;36
0;2147;;;2147;36
0;3141;;;3141;36
0;2241;;;2241;35
0;8612;;;8612;35
0;3731;;;3731;35
0;3425;;;3425;34
0;5171;;;5171;34
Gradiente 2;1224;Diretores e Gerentes de operações comerciais (Varejo/Atacado);1420 - Retail and Wholesale Trade Managers;1224;33
0;7831;;;7831;33
0;7631;;;7631;32
Gradiente 3;4241;Entrevistadores e recenseadores;4227 - Survey and Market Research Interviewers;4241;31
0;5165;;;5165;31
Gradiente 3;2615;Profissionais da escrita (Autores, redatores, críticos);2641 - Authors and Related Writers;2615;31
0;8414;;;8414;30
0;2234;;;2234;29
0;9131;;;9131;29
0;8131;;;8131;29
0;1223;;;1223;29
0;1222;;;1222;28
0;2145;;;2145;27
0;8211;;;8211;27
0;5153;;;5153;27
0;3519;;;3519;26
0;5163;;;5163;25
0;7112;;;7112;25
0;3181;;;3181;25
0;2232;;;2232;24
0;9531;;;9531;24
0;7154;;;7154;24
0;9102;;;9102;24
0;5136;;;5136;23
0;2621;;;2621;23
0;7711;;;7711;23
0;9141;;;9141;22
Gradiente 2;2544;Fiscal de tributos estadual ou municipal;3352 - Government Tax and Excise Officials;2544;21
0;2331;;;2331;21
0;9503;;;9503;21
0;6228;;;6228;21
0;9112;;;9112;21
0;9541;;;9541;20
0;9191;;;9191;20
0;7212;;;7212;20
0;5152;;;5152;20
0;3187;;;3187;19
0;2343;;;2343;19
0;8411;;;8411;18
0;8401;;;8401;18
0;5193;;;5193;18
Gradiente 2;2513;Profissionais em pesquisa e análise geográfica;2165 - Cartographers and Surveyors;2513;18
0;3426;;;3426;18
0;7735;;;7735;18
0;1226;;;1226;18
0;8484;;;8484;17
0;2021;;;2021;17
0;7101;;;7101;17
Gradiente 3;3422;Despachantes aduaneiros;3331 - Clearing and Forwarding Agents;3422;17
0;3751;;;3751;16
0;7250;;;7250;16
0;8181;;;8181;16
0;3134;;;3134;16
0;3321;;;3321;15
0;3252;;;3252;15
0;2211;;;2211;15
0;2347;;;2347;15
0;3424;;;3424;15
0;3111;;;3111;15
0;6420;;;6420;15
0;7313;;;7313;15
Gradiente 1;2618;Fotógrafos profissionais;3431 - Photographers;2618;15
0;7662;;;7662;15
0;3212;;;3212;15
0;3184;;;3184;14
Gradiente 3;2616;Profissionais do jornalismo e Editores;2642 / 2641 - Journalists / Authors;2616;14
0;3742;;;3742;13
Gradiente 2;2543;Auditor-fiscal do trabalho;3352 - Government Tax and Excise Officials;2543;13
0;7523;;;7523;13
