sigla_uf;Gradiente;Código CBO;Título da Família Ocupacional;total_vinculos_ativos
AM;Gradiente 2;4142;Apontadores e conferentes;16
AM;Gradiente 2;1425;Diretores e Gerentes de serviços de informática;14
AM;Gradiente 2;2624;Artistas visuais e desenhistas industriais (Designers);10
AM;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);1804
AM;Gradiente 3;3517;Técnicos e Corretores de seguros;59
AM;Gradiente 3;2122;Engenheiros de computação e Administradores de TI;34
AM;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;25
AM;Gradiente 3;2523;Secretárias executivas e bilíngues;22
AM;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;7
AM;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;6
AM;Gradiente 3;3548;Técnicos em serviços de turismo e organização de eventos;4
AM;Gradiente 3;2112;Profissionais da matemática, atuários e estatísticos;3
AM;Gradiente 3;3545;Técnicos e Corretores de seguros;3
AM;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;475
AM;Gradiente 4;2525;Profissionais de administração econômico-financeira;66
AM;Gradiente 4;3532;Técnicos em operações e serviços bancários;46
AM;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);43
AM;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;5
AM;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;2
AM;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;1
AP;0;2532;Não mapeado no estudo original;95
AP;0;1421;Não mapeado no estudo original;38
AP;0;3542;Não mapeado no estudo original;7
AP;0;5143;Não mapeado no estudo original;6
AP;0;2141;Não mapeado no estudo original;5
AP;0;3751;Não mapeado no estudo original;4
AP;0;5132;Não mapeado no estudo original;3
AP;0;2142;Não mapeado no estudo original;3
AP;0;2410;Não mapeado no estudo original;3
AP;0;1422;Não mapeado no estudo original;3
AP;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);14
AP;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);4
AP;Gradiente 1;2515;Psicólogos e psicanalistas;1
AP;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;35
AP;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;17
AP;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;15
AP;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;11
AP;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;8
AP;Gradiente 2;1425;Diretores e Gerentes de serviços de informática;6
AP;Gradiente 2;3513;Técnicos em contabilidade e em administração;6
AP;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;5
AP;Gradiente 2;5241;Vendedores em domicílio;4
AP;Gradiente 2;1227;Diretores e Gerentes em instituições de interm. financeira;3
AP;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);505
AP;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;4
AP;Gradiente 3;3517;Técnicos e Corretores de seguros;1
AP;Gradiente 3;2611;Profissionais do jornalismo e Editores;1
AP;Gradiente 3;3514;Serventuários da justiça e afins;1
AP;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;1
AP;Gradiente 3;2523;Secretárias executivas e bilíngues;1
AP;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;82
AP;Gradiente 4;3532;Técnicos em operações e serviços bancários;8
AP;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);4
AP;Gradiente 4;2525;Profissionais de administração econômico-financeira;4
AP;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;2
AP;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);1
AP;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;1
BA;0;2532;Não mapeado no estudo original;2501
BA;0;1421;Não mapeado no estudo original;1411
BA;0;5143;Não mapeado no estudo original;126
BA;0;2142;Não mapeado no estudo original;87
BA;0;2410;Não mapeado no estudo original;63
BA;0;5174;Não mapeado no estudo original;62
BA;0;7170;Não mapeado no estudo original;59
BA;0;7152;Não mapeado no estudo original;58
BA;0;3222;Não mapeado no estudo original;28
BA;0;4141;Não mapeado no estudo original;22
BA;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);450
BA;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);43
BA;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);42
BA;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);24
BA;Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;3
BA;Gradiente 1;4151;Auxiliares de serviços de documentação, informação e pesquisa;3
BA;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;862
BA;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;761
BA;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;658
BA;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;388
BA;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;195
BA;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;177
BA;Gradiente 2;5241;Vendedores em domicílio;147
BA;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;39
BA;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;38
BA;Gradiente 2;3513;Técnicos em contabilidade e em administração;31
BA;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);10619
