sigla_uf;Gradiente;Código CBO;Título da Família Ocupacional;total_vinculos_ativos
MA;0;4141;Não mapeado no estudo original;17
MA;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);87
MA;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);20
MA;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);11
MA;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);10
MA;Gradiente 1;2515;Psicólogos e psicanalistas;1
MA;Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;1
MA;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;283
MA;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;160
MA;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;147
MA;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;131
MA;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;45
MA;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;39
MA;Gradiente 2;5241;Vendedores em domicílio;19
MA;Gradiente 2;4213;Cobradores e afins;17
MA;Gradiente 2;3511;Técnicos em contabilidade e em administração;11
MA;Gradiente 2;2531;Relações públicas, publicidade, mercado e negócios;5
MA;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);3310
MA;Gradiente 3;3517;Técnicos e Corretores de seguros;34
MA;Gradiente 3;3545;Técnicos e Corretores de seguros;18
MA;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;16
MA;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;15
MA;Gradiente 3;2523;Secretárias executivas e bilíngues;13
MA;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;7
MA;Gradiente 3;2612;Profissionais da informação (Biblio.), Tradutores e Intérpretes;5
MA;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;5
MA;Gradiente 3;2123;Engenheiros de computação e Administradores de TI;4
MA;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;871
MA;Gradiente 4;2525;Profissionais de administração econômico-financeira;41
MA;Gradiente 4;3532;Técnicos em operações e serviços bancários;33
MA;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;8
MA;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);7
MA;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);4
MA;Gradiente 4;4231;Despachantes documentalistas e afins;1
MA;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;1
MA;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;1
MG;0;2532;Não mapeado no estudo original;6215
MG;0;1421;Não mapeado no estudo original;3302
MG;0;5143;Não mapeado no estudo original;822
MG;0;2410;Não mapeado no estudo original;436
MG;0;1231;Não mapeado no estudo original;308
MG;0;7170;Não mapeado no estudo original;265
MG;0;3542;Não mapeado no estudo original;257
MG;0;7152;Não mapeado no estudo original;206
MG;0;1422;Não mapeado no estudo original;178
MG;0;2142;Não mapeado no estudo original;168
MG;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);887
MG;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);168
MG;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);81
MG;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);53
MG;Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;30
MG;Gradiente 1;4151;Auxiliares de serviços de documentação, informação e pesquisa;14
MG;Gradiente 1;2515;Psicólogos e psicanalistas;5
MG;Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;4
MG;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;3167
MG;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;2885
MG;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;1137
MG;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;1104
MG;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;953
MG;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;523
MG;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;425
MG;Gradiente 2;1425;Diretores e Gerentes de serviços de informática;384
MG;Gradiente 2;5241;Vendedores em domicílio;361
MG;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;342
MG;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);25806
MG;Gradiente 3;3517;Técnicos e Corretores de seguros;1021
MG;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;860
MG;Gradiente 3;2523;Secretárias executivas e bilíngues;332
MG;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;256
MG;Gradiente 3;2123;Engenheiros de computação e Administradores de TI;234
MG;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;171
MG;Gradiente 3;3545;Técnicos e Corretores de seguros;146
MG;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;113
MG;Gradiente 3;2122;Engenheiros de computação e Administradores de TI;108
MG;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;9214
MG;Gradiente 4;2525;Profissionais de administração econômico-financeira;2825
MG;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);2554
MG;Gradiente 4;3532;Técnicos em operações e serviços bancários;612
MG;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;431
MG;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;332
MG;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);217
MG;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;40
MS;0;2532;Não mapeado no estudo original;1524
MS;0;1421;Não mapeado no estudo original;368
MS;0;5143;Não mapeado no estudo original;37
MS;0;6210;Não mapeado no estudo original;28
MS;0;6410;Não mapeado no estudo original;23
MS;0;2142;Não mapeado no estudo original;21
MS;0;6201;Não mapeado no estudo original;12
MS;0;2141;Não mapeado no estudo original;10
MS;0;2410;Não mapeado no estudo original;9
MS;0;1422;Não mapeado no estudo original;9
MS;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);65
MS;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);11
MS;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);6
MS;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);3
MS;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;432
MS;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;193
MS;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;161
MS;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;92
MS;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;92
MS;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;36
MS;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;26
MS;Gradiente 2;5241;Vendedores em domicílio;25
MS;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;13
MS;Gradiente 2;3172;Operadores de monitoração de computadores (Helpdesk);12
MS;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);2909
MS;Gradiente 3;3517;Técnicos e Corretores de seguros;85
MS;Gradiente 3;2523;Secretárias executivas e bilíngues;37
MS;Gradiente 3;3545;Técnicos e Corretores de seguros;26
MS;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;20
MS;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;10
MS;Gradiente 3;3514;Serventuários da justiça e afins;8
MS;Gradiente 3;2122;Engenheiros de computação e Administradores de TI;7
MS;Gradiente 3;2612;Profissionais da informação (Biblio.), Tradutores e Intérpretes;3
MS;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;3
MS;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;958
MS;Gradiente 4;2525;Profissionais de administração econômico-financeira;224
MS;Gradiente 4;3532;Técnicos em operações e serviços bancários;95
MS;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);30
MS;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;15
MS;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);8
MS;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;5
MS;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;4
MT;0;2532;Não mapeado no estudo original;2645
MT;0;1421;Não mapeado no estudo original;732
MT;0;5143;Não mapeado no estudo original;119
MT;0;1210;Não mapeado no estudo original;55
MT;0;2410;Não mapeado no estudo original;42
MT;0;2142;Não mapeado no estudo original;37
MT;0;7825;Não mapeado no estudo original;36
MT;0;4141;Não mapeado no estudo original;36
MT;0;1422;Não mapeado no estudo original;32
MT;0;6231;Não mapeado no estudo original;27
MT;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);183
MT;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);23
MT;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);17
MT;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);7
MT;Gradiente 1;4151;Auxiliares de serviços de documentação, informação e pesquisa;3
MT;Gradiente 1;2515;Psicólogos e psicanalistas;1
MT;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;725
MT;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;509
MT;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;255
MT;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;197
MT;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;181
MT;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;98
MT;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;47
MT;Gradiente 2;5241;Vendedores em domicílio;47
MT;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;42
MT;Gradiente 2;3172;Operadores de monitoração de computadores (Helpdesk);36
MT;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);4223
MT;Gradiente 3;3517;Técnicos e Corretores de seguros;107
MT;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;69
MT;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;60
MT;Gradiente 3;2523;Secretárias executivas e bilíngues;54
MT;Gradiente 3;3514;Serventuários da justiça e afins;27
MT;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;26
MT;Gradiente 3;3545;Técnicos e Corretores de seguros;24
MT;Gradiente 3;2612;Profissionais da informação (Biblio.), Tradutores e Intérpretes;19
MT;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;12
MT;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;1855
MT;Gradiente 4;2525;Profissionais de administração econômico-financeira;469
MT;Gradiente 4;3532;Técnicos em operações e serviços bancários;192
MT;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);94
MT;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;70
MT;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);27
MT;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;2
MT;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;1
PA;0;2532;Não mapeado no estudo original;1201
PA;0;1421;Não mapeado no estudo original;632
PA;0;1115;Não mapeado no estudo original;282
PA;0;2410;Não mapeado no estudo original;107
PA;0;5142;Não mapeado no estudo original;80
PA;0;2142;Não mapeado no estudo original;58
PA;0;3542;Não mapeado no estudo original;51
PA;0;5143;Não mapeado no estudo original;36
PA;0;1424;Não mapeado no estudo original;26
PA;0;1231;Não mapeado no estudo original;23
PA;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);77
PA;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);18
PA;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);16
PA;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);13
PA;Gradiente 1;2515;Psicólogos e psicanalistas;7
PA;Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;5
PA;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;520
PA;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;253
PA;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;202
PA;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;159
PA;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;142
PA;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;85
PA;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;40
PA;Gradiente 2;5241;Vendedores em domicílio;36
PA;Gradiente 2;1425;Diretores e Gerentes de serviços de informática;24
PA;Gradiente 2;4213;Cobradores e afins;22
PA;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);7025
PA;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;181
PA;Gradiente 3;3517;Técnicos e Corretores de seguros;48
PA;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;22
PA;Gradiente 3;3545;Técnicos e Corretores de seguros;22
PA;Gradiente 3;2523;Secretárias executivas e bilíngues;21
PA;Gradiente 3;2112;Profissionais da matemática, atuários e estatísticos;6
PA;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;6
PA;Gradiente 3;2123;Engenheiros de computação e Administradores de TI;5
PA;Gradiente 3;3548;Técnicos em serviços de turismo e organização de eventos;4
PA;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;1356
PA;Gradiente 4;2525;Profissionais de administração econômico-financeira;400
PA;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);275
PA;Gradiente 4;3532;Técnicos em operações e serviços bancários;67
PA;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;40
PA;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;5
PA;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;1
PB;0;2532;Não mapeado no estudo original;611
PB;0;1421;Não mapeado no estudo original;422
PB;0;2142;Não mapeado no estudo original;28
PB;0;5143;Não mapeado no estudo original;22
PB;0;1231;Não mapeado no estudo original;12
PB;0;7825;Não mapeado no estudo original;8
PB;0;1422;Não mapeado no estudo original;7
PB;0;7170;Não mapeado no estudo original;7
PB;0;3121;Não mapeado no estudo original;6
PB;0;2141;Não mapeado no estudo original;6
PB;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);99
PB;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);13
PB;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);7
PB;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);3
PB;Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;2
PB;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;173
PB;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;113
PB;Gradiente 2;5241;Vendedores em domicílio;94
PB;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;94
PB;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;89
PB;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;67
PB;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;20
PB;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;14
PB;Gradiente 2;3172;Operadores de monitoração de computadores (Helpdesk);13
PB;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;5
PB;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);2985
PB;Gradiente 3;3517;Técnicos e Corretores de seguros;39
PB;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;19
PB;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;14
PB;Gradiente 3;2523;Secretárias executivas e bilíngues;9
PB;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;8
PB;Gradiente 3;2612;Profissionais da informação (Biblio.), Tradutores e Intérpretes;6
PB;Gradiente 3;3545;Técnicos e Corretores de seguros;4
PB;Gradiente 3;3514;Serventuários da justiça e afins;3
PB;Gradiente 3;2112;Profissionais da matemática, atuários e estatísticos;2
PB;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;552
PB;Gradiente 4;2525;Profissionais de administração econômico-financeira;51
PB;Gradiente 4;3532;Técnicos em operações e serviços bancários;34
PB;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);23
PB;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;11
PB;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);10
PB;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;3
PB;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;3
PE;0;2532;Não mapeado no estudo original;1718
PE;0;1421;Não mapeado no estudo original;977
PE;0;2410;Não mapeado no estudo original;312
PE;0;5143;Não mapeado no estudo original;187
PE;0;5151;Não mapeado no estudo original;146
PE;0;3222;Não mapeado no estudo original;123
PE;0;2142;Não mapeado no estudo original;94
PE;0;2235;Não mapeado no estudo original;59
PE;0;7170;Não mapeado no estudo original;55
PE;0;3542;Não mapeado no estudo original;54
PE;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);279
PE;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);79
PE;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);65
PE;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);17
PE;Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;12
PE;Gradiente 1;2515;Psicólogos e psicanalistas;4
PE;Gradiente 1;4151;Auxiliares de serviços de documentação, informação e pesquisa;2
PE;Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;1
PE;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;523
PE;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;503
PE;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;330
PE;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;327
PE;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;254
PE;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;183
PE;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;100
PE;Gradiente 2;5241;Vendedores em domicílio;96
PE;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;71
PE;Gradiente 2;1425;Diretores e Gerentes de serviços de informática;41
PE;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);6600
PE;Gradiente 3;3517;Técnicos e Corretores de seguros;312
PE;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;285
PE;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;52
PE;Gradiente 3;2523;Secretárias executivas e bilíngues;38
PE;Gradiente 3;2123;Engenheiros de computação e Administradores de TI;32
PE;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;30
PE;Gradiente 3;3545;Técnicos e Corretores de seguros;24
PE;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;13
PE;Gradiente 3;3514;Serventuários da justiça e afins;12
PE;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;1798
PE;Gradiente 4;2525;Profissionais de administração econômico-financeira;353
PE;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);175
PE;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;118
PE;Gradiente 4;3532;Técnicos em operações e serviços bancários;95
PE;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);15
PE;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;10
PE;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;3
PE;Gradiente 4;4231;Despachantes documentalistas e afins;1
PI;0;2532;Não mapeado no estudo original;203
PI;0;1421;Não mapeado no estudo original;161
PI;0;5143;Não mapeado no estudo original;45
PI;0;2142;Não mapeado no estudo original;18
PI;0;3132;Não mapeado no estudo original;14
PI;0;5174;Não mapeado no estudo original;13
PI;0;2410;Não mapeado no estudo original;13
PI;0;2332;Não mapeado no estudo original;9
PI;0;1231;Não mapeado no estudo original;9
PI;0;1422;Não mapeado no estudo original;8
PI;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);228
PI;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);50
PI;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);14
PI;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);7
PI;Gradiente 1;2515;Psicólogos e psicanalistas;2
PI;Gradiente 2;4213;Cobradores e afins;87
PI;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;86
PI;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;80
PI;Gradiente 2;3912;Técnicos de planejamento e controle da produção;66
PI;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;59
PI;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;52
PI;Gradiente 2;4201;Supervisores de atendimento ao público e de pesquisa;49
PI;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;45
PI;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;35
PI;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;31
PI;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);2196
PI;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;85
PI;Gradiente 3;3517;Técnicos e Corretores de seguros;45
PI;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;25
PI;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;13
PI;Gradiente 3;3545;Técnicos e Corretores de seguros;11
PI;Gradiente 3;2112;Profissionais da matemática, atuários e estatísticos;10
PI;Gradiente 3;3514;Serventuários da justiça e afins;3
PI;Gradiente 3;2523;Secretárias executivas e bilíngues;3
PI;Gradiente 3;2123;Engenheiros de computação e Administradores de TI;2
PI;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;464
PI;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);313
PI;Gradiente 4;2525;Profissionais de administração econômico-financeira;62
PI;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);41
PI;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;20
PI;Gradiente 4;3532;Técnicos em operações e serviços bancários;11
PI;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;1
PI;Gradiente 4;4231;Despachantes documentalistas e afins;1
PR;0;2532;Não mapeado no estudo original;7755
PR;0;1421;Não mapeado no estudo original;2247
PR;0;2345;Não mapeado no estudo original;292
PR;0;2410;Não mapeado no estudo original;290
PR;0;5143;Não mapeado no estudo original;285
PR;0;1231;Não mapeado no estudo original;151
PR;0;2142;Não mapeado no estudo original;120
PR;0;3542;Não mapeado no estudo original;115
PR;0;5141;Não mapeado no estudo original;91
PR;0;1422;Não mapeado no estudo original;85
PR;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);838
PR;Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;154
PR;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);43
PR;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);36
PR;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);15
PR;Gradiente 1;4151;Auxiliares de serviços de documentação, informação e pesquisa;2
PR;Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;1
PR;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;2727
PR;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;2128
PR;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;1031
PR;Gradiente 2;4101;Supervisores administrativos e de serviços financeiros;949
PR;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;879
PR;Gradiente 2;2524;Administradores e Profissionais de recursos humanos;457
PR;Gradiente 2;4213;Cobradores e afins;366
PR;Gradiente 2;4102;Supervisores administrativos e de serviços financeiros;293
PR;Gradiente 2;5201;Supervisores de vendas e de prestação de serviços;263
PR;Gradiente 2;3511;Técnicos em contabilidade e em administração;214
PR;Gradiente 3;4132;Escriturários de serviços bancários (Caixas, compensadores);15964
PR;Gradiente 3;3517;Técnicos e Corretores de seguros;816
PR;Gradiente 3;2522;Economistas, Contadores, Auditores e Peritos contábeis;454
PR;Gradiente 3;2111;Profissionais da matemática, atuários e estatísticos;261
PR;Gradiente 3;4221;Recepcionistas em geral e Operadores de telefonia;168
PR;Gradiente 3;2523;Secretárias executivas e bilíngues;154
PR;Gradiente 3;2512;Economistas, Contadores, Auditores e Peritos contábeis;129
PR;Gradiente 3;3545;Técnicos e Corretores de seguros;102
PR;Gradiente 3;2123;Engenheiros de computação e Administradores de TI;85
PR;Gradiente 3;3171;Técnicos de desenvolvimento de sistemas e aplicações;82
PR;Gradiente 4;4110;Agentes, assistentes e auxiliares administrativos;8240
PR;Gradiente 4;2525;Profissionais de administração econômico-financeira;2635
PR;Gradiente 4;2124;Analistas de Tecnologia da Informação (Web e Multimídia);1452
PR;Gradiente 4;3532;Técnicos em operações e serviços bancários;544
PR;Gradiente 4;4223;Operadores de telemarketing (Ativo, receptivo e técnico);357
PR;Gradiente 4;4131;Auxiliares de contabilidade, folha de pagamento e faturamento;233
PR;Gradiente 4;3515;Técnicos em secretariado, taquígrafos e estenotipistas;23
PR;Gradiente 4;4121;Datilógrafos, digitadores e operadores de transmissão de dados;12
PR;Gradiente 4;4231;Despachantes documentalistas e afins;3
RJ;0;2532;Não mapeado no estudo original;6679
RJ;0;1421;Não mapeado no estudo original;3145
RJ;0;2410;Não mapeado no estudo original;956
RJ;0;8622;Não mapeado no estudo original;846
RJ;0;5199;Não mapeado no estudo original;724
RJ;0;5143;Não mapeado no estudo original;572
RJ;0;8623;Não mapeado no estudo original;509
RJ;0;1115;Não mapeado no estudo original;431
RJ;0;2032;Não mapeado no estudo original;368
RJ;0;2143;Não mapeado no estudo original;363
RJ;Gradiente 1;5211;Caixas, bilheteiros e Operadores do comércio (Balconistas);1490
RJ;Gradiente 1;4211;Caixas, bilheteiros e Operadores do comércio (Balconistas);297
RJ;Gradiente 1;4122;Contínuos (Office-boys / Mensageiros);152
RJ;Gradiente 1;7823;Motoristas de veículos de pequeno e médio porte (Táxi);129
RJ;Gradiente 1;2394;Programadores, avaliadores e orientadores de ensino;46
RJ;Gradiente 1;4151;Auxiliares de serviços de documentação, informação e pesquisa;22
RJ;Gradiente 1;1415;Dir. e Gerentes de op. em empresas de turismo/hotelaria;17
RJ;Gradiente 1;2515;Psicólogos e psicanalistas;17
RJ;Gradiente 1;2133;Físicos e Profissionais das ciências atmosféricas/espaciais;5
RJ;Gradiente 1;1225;Dir. e Gerentes de op. em empresas de turismo/hotelaria;1
RJ;Gradiente 2;1423;Diretores e Gerentes de comercialização e marketing;4179
RJ;Gradiente 2;1417;Diretores e Gerentes em instituições de interm. financeira;1685
RJ;Gradiente 2;2521;Administradores e Profissionais de recursos humanos;1592
RJ;Gradiente 2;3541;Técnicos de vendas especializadas e Rep. comerciais autônomos;1174
