sigla_uf,codigo_cbo_4,total_vinculos_ativos
AC,775120,22
AC,724220,15
AC,841805,15
AC,732110,42
AC,142325,4
AC,322120,5
AC,821215,10
AC,821405,15
AC,711320,6
AC,510115,1
AC,261115,3
AC,771110,8
AC,252525,17
AC,203105,3
AC,214910,3
AC,841505,13
AC,223565,16
AC,111330,32
AC,724325,15
AC,373130,24
AC,731110,7
AC,919115,2
AC,773310,6
AC,311115,2
AC,374420,9
AC,781105,1
AC,142515,8
AC,715520,3
AC,411050,3
AC,632515,11
AC,630105,2
AC,752230,7
AC,954125,1
AC,354410,4
AC,318405,9
AC,762105,3
AC,823105,1
AC,123805,4
AC,322215,2
AC,113005,2
AC,811735,1
AC,314610,1
AC,325205,5
AC,766210,1
AC,223520,4
AC,848105,11
AC,710120,3
AC,422125,2
AC,122105,2
AC,768630,1
AC,950205,3
AC,214370,1
AC,715535,2
AC,314105,2
AC,342545,4
AC,319205,1
AC,131320,6
AC,114210,2
AC,223256,3
AC,811510,3
AC,515220,8
AC,314210,1
AC,374415,1
AC,821310,4
AC,752235,2
AC,271110,5
AC,510120,1
AC,391220,1
AC,225203,1
AC,712225,1
AC,225240,1
AC,516340,1
AC,914410,2
AC,318610,1
AC,411005,6856
AC,411010,12674
AC,783225,1429
AC,991115,9
AC,848325,16
AC,414215,315
AC,823305,2
AC,848510,1310
AC,331205,3484
AC,351405,224
AC,421110,30
AC,715705,165
AC,732140,48
AC,919205,188
AC,731150,36
AC,223505,2110
AC,782220,238
AC,841745,6
AC,848515,132
AC,715525,192
AC,992210,97
AC,715110,108
AC,515135,983
AC,322230,725
AC,223405,1131
AC,261140,8
AC,860115,57
AC,517425,322
AC,141610,7
AC,771105,134
AC,412110,588
AC,731305,50
AC,715130,87
AC,252405,180
AC,241040,95
AC,239220,288
AC,241215,27
AC,622015,36
AC,225151,28
AC,20205,115
AC,224120,272
AC,724315,196
AC,415205,195
AC,862120,118
AC,410225,70
AC,992205,43
AC,720215,3
AC,951305,83
AC,214280,47
AC,242405,57
AC,841115,20
AC,762120,17
AC,231340,27
AC,763210,63
AC,318005,23
AC,313115,44
AC,762005,73
AC,141515,38
AC,114405,9
AC,631325,15
AC,225120,13
AC,731325,16
AC,354825,2
AC,262115,3
AC,723315,12
AC,830105,1
AC,131205,37
AC,721105,18
AC,783105,36
AC,721320,11
AC,391145,26
AC,791135,3
AC,215305,14
AC,395105,19
AC,513215,10
AC,848115,45
AC,253205,3
AC,828105,24
AC,711405,5
AC,422130,2
AC,722325,5
AC,724510,10
AC,223535,5
AC,413105,41
AC,231330,13
AC,766145,3
AC,203110,1
AC,313120,21
AC,318105,22
AC,915105,2
AC,351435,2
AC,354405,18
AC,715415,6
AC,241340,5
AC,322420,18
AC,773130,7
AC,715515,6
AC,141830,1
AC,222105,11
AC,261615,6
AC,724130,9
AC,612410,2
AC,123305,9
AC,766310,6
AC,262425,3
AC,821305,13
AC,351110,8
AC,203015,8
AC,732135,6
AC,725015,1
AC,225230,1
AC,821110,1
AC,513410,1
AC,711245,4
AC,511110,2
AC,823210,1
AC,203520,2
AC,517325,3
AC,717015,2
AC,514115,1
AC,811130,1
AC,741120,1
AC,763325,1
AC,910115,2
AC,252550,2
AC,723305,1
AC,991205,3
AC,768320,1
AC,225170,3
AC,841484,1
AC,225135,4
AC,376315,3
AC,841105,1
AC,141810,1
AC,422330,1
AC,262805,1
AC,841460,1
AC,223435,1
AC,720140,1
AC,514320,10828
AC,212420,114
AC,20305,132
AC,312205,8
AC,521130,899
AC,351505,1604
AC,514225,4527
AC,422110,532
AC,621005,1981
AC,413205,207
AC,848505,173
AC,142105,6833
AC,422120,152
AC,513315,300
AC,519320,48
AC,641015,703
AC,333105,333
AC,321110,137
AC,773125,46
AC,951105,351
AC,223810,141
AC,261605,7
AC,142305,419
AC,715610,101
